,0
679,"You two used to date, right?"
680,- Sort of.
681,- Not really.
682,<i>Need to see the cash.</i>
683,<i>- See the cash.</i>
684,- Wait.
685,- Back. Go back. Right there. That guy.
686,- What?
687,<i>- I need to see it.</i>
688,- The bag is empty.
689,- There's no money in the bag. It's a rip.
690,"<i>- If you see mine, I need to see yours.</i>"
691,- They're gonna kill... It's a rip.
692,- Michael.
693,- We need Booker alive!
694,"- Michael, get back here!"
695,"Shit. Kelly, go. Go!"
696,Get me body cams.
697,"<i>Michael, do not engage until we havethe rest of the team in position.</i>"
698,"Can we count the cash,or what?"
699,This is a nice song.
700,Put it louder.
701,Now!
702,Move!
703,Put it down! Put it down!
704,Can you hear me?
705,I'm gonna need you to lay medown some cover. We're coming to you.
706,"All right. You wanna live, you stay with me."
707,Fuck with me and I'm gonna kill you.
708,Coming at you on three.
709,Bring the truck! Grab the merch!
710,"One, two, three."
711,Shit.
712,Shit.
713,Shit. Hey. Hey. Booker.
714,"Booker, look at me."
715,Hey. Hey. Don't die.
716,"P90 Herstals. P90 Herstals,who's the buyer?"
717,"Oh, shit."
718,"- Hey, hey. Booker. Booker."
719,- Michael?
720,"Hey, get an ambulance in here now."
721,Get the paramedics.
722,- Booker. Booker.
723,- Michael.
724,- Don't worry about clearance. Bring them in.
725,- Calm down.
726,"- Hey, just do what I ask you for once, please!"
727,- He's dead!
728,Is that Diego or his twin?
729,"Yeah, yeah, his twin."
730,"Carmelita, no, no, no."
731,- Who this?
732,"<i>- Yo, Marcus. It's Carver Remy.</i>"
733,"Look here, I'm busy, all right?"
734,"Don't waste my time, Carver. Leave me alone."
735,"<i>Come on, man."
736,It's important.</i>
737,Keep an eye on my baby.
738,<i>- Marcus.</i>
739,- I'm retired.
740,Only rats I talk to arein my basement.
741,- Carmelita shot the wrong twin!
742,"- Oh, shit."
743,"The guy who shot Mike,he's trying to kill me."
744,- What?
745,<i>- I'm serious.</i>
746,<i>A guy on a black bike's been tracking me.
747,The one on the news. It's him.</i>
748,- Bullshit.
749,"<i>- Marcus, would I lie to you?</i>"
750,- Yes. That's why we stopped using your ass as a CI.
751,"- I'm telling you, it's him."
752,- What do you want from me?
753,<i>- Protective custody. To not die.</i>
754,"<i>Please, man. Use me as bait,whatever.</i>"
755,You want this guy?
756,He's coming for me.
757,- You talk to Mike?
758,<i>- I called you. Nineteenth and Miami.</i>
759,<i>Third floor.
760,I'll be waiting.</i>
761,"What did I say? No, no."
762,What did I say?
763,I said consult.
764,I said observe. I...
765,Look at this mess. It's carnage!
766,"I didn't do all this shit, Cap."
767,They did this to each other.
768,"Wait, wait, wait."
769,You didn't shoot anybody?
770,"- You know I shot some people, but..."
771,- Yeah.
772,"- Look, they had already started."
773,"- What...? Jesus. Mike, you promised."
774,"- No, no, I didn't promise."
775,- You promised.
776,"- I said I could picture you on a limb, fat as hell..."
777,- Yeah?
778,- ...with sharks and some shit.
779,- Right. That's a promise.
780,- You were here to watch.
781,"- What? Yeah, and I saw."
782,"All right, Cap, look."
783,"The bag is empty, all right? No cash."
784,The guy reached up and scratched his nose.
785,I saw it had no weight to it.
786,"- That's very impressive, sir."
787,"- Yeah. See, I like that one."
788,"If I hadn't come in,"
789,Grassie was a dead man for sure.
790,That's a relief because your guy'sin a body bag and he sure looks dead.
791,- Cap.
792,"- Good job, Mikey."
793,"Hey, look."
794,"Young boy, seriously."
