,0
1875,"I can't promise youit's gonna be all good...after all the stuffyou've done, but..."
1876,I can promise you
1877,"I'm gonna be there, all right?"
1878,Hey.
1879,I'm your Uncle Marcus.
1880,But we'll talk about that later.
1881,"Yeah, yeah."
1882,"Yeah, yeah. Yeah."
1883,- Hey.
1884,- Hey.
1885,There we go.
1886,- All right.
1887,"- Oh, my God."
1888,You guys.
1889,- There it is.
1890,- Yes.
1891,- Now it's time to raise your glasses...
1892,- Yes.
1893,- to our new captain.
1894,- To our new captain.
1895,"- Hey, my mom says hey."
1896,- You're not gonna let me live that down.
1897,"Oh, and, guys,"
1898,I got some news for you.
1899,"I just started therapy,and my therapist thought it'd be super beneficialif maybe we could hit up a group sesh together."
1900,- It's super sick.
1901,"- Oh, for sure."
1902,- Definitely.
1903,"- Yeah, we will be there."
1904,"- Marcus, let me holler at you for a second."
1905,- Yeah.
1906,Let me think about it.
1907,- He want us to go to therapy.
1908,"- Yeah, I'm not going."
1909,I'm not going.
1910,"Hey, man, look...we don't say this kind of shitto each other, man, but just...thank you."
1911,"Mike, you don't have to thank me."
1912,"If you wanna retire,just know that I am notgonna try to stop you."
1913,You earned it.
1914,"And I will support you 100,no matter what."
1915,But you're forgetting one thing.
1916,We said for life.
1917,"For life, baby."
1918,- There's my nephew.
1919,- Yes.
1920,- Hey.
1921,- Little Marcus just woke up.
1922,"Okay, first things first."
1923,Little surprise for you.
1924,Three days at the Marion Springs Resort.
1925,"You know, kind of a little apologyfor the spa day I crashed."
1926,"Yes, a little quality time, baby."
1927,Quality time.
1928,"Yeah, baby, but Megan and"
1929,Reggie are on their honeymoon.
1930,I got the baby this weekend.
1931,Me and my AMMO squad.
1932,"You and Theresa go ahead, have fun."
1933,"You still got them blue pills, right?"
1934,I don't need no damn blue pills.
1935,- That's what you said about your glasses.
1936,"- That baby looks good on you, Mike."
1937,"- You do look good holding a baby, Mike."
1938,"- Yeah, you think?"
1939,I do.
1940,"You good, Mike?"
1941,"Let's go, team."
1942,- Yep.
1943,"- Wait, nothing..."
1944,"Wait, no. What you talking about?"
1945,"Nah, we said we were doing this together."
1946,"Oh, no, I have to work. I'll checkon you tomorrow. I'll bring wine."
1947,"- Rita, stop playing. Hey, no."
1948,- You'll need it.
1949,- Y'all all agreed that we were all gonna stay with the baby.
1950,"- Marcus, I'm gonna see you. I'll be in the car."
1951,- Just text my mom.
1952,"- Okay... Okay, that's not fun... No."
1953,"Okay. All right, all right."
1954,Hey.
1955,"<i>Bad boys, bad boys</i>"
1956,<i>Whatcha gonna do? Whatcha gonna dowhen we come for you?</i>
1957,"No. No, we not doing thatwith the next generation."
1958,"- You gotta sing it right, man."
1959,- All right.
1960,"<i>- Bad boys, bad boys"
1961,"- Bad boys, bad boys</i>"
1962,<i>- Whatcha gonna do?
1963,- Whatcha gonna do?</i>
1964,<i>- Whatcha gonna do when we come for you?
1965,- Whatcha gonna do when we come for you?</i>
1966,I'm gone.
1967,How you doing?
1968,I'm paying my debt.
1969,It's a big one.
1970,Opportunity may have presented itselffor you to pay down some of that debt.
1971,You interested?
1972,"Yeah, man."
1973,Would you fuck a witchwithout a condom?
1974,I would not.
1975,"He would not, Mike."
