,dialog
611,"It's not our money, it's everybody's."
612,Really? Mine's in my mattress.
613,"You don't put these guys down, that stuffing in your mattress might be worth a whole lot less."
614,Cut the fiber cable and take out that cell tower.
615, Thank you  That'll slow them down.
616,Move back!
617,"All the way! Go! Sir, get back, please!"
618,They cut the fiber.
619,Cell's working.
620,For now.
621,Get all these barriers up. All of them up. No one gets in or out of any of these streets.
622,Where am I supposed to move it?
623,Back it up.
624,"All right, just stay in your vehicle, okay?"
625,How much longer does the program need?
626,Eight minutes.
627,Time to go mobile.
628,"Everybody, up!"
629,"You two, move!"
630,Thank you.
631,Steady.
632,Steady.
633,I've got something.
634,"Hold your fire, they've got hostages."
635,Hold your fire!
636,"Go, go!"
637,Please! Just let me go!
638,"Hey, please! Hey!"
639,Shoot the tires.
640,There's no shot.
641,Now back off.
642,"Back off, they've got hostages."
643,... P.D. are pursuing the four suspects through downtown...
644,...in response to a hostage situation.
645,What's going on with the lights?
646,It can't be.
647,What the hell was that?
648,"Oh, boy, you are in for a show tonight, son."
649,"Please! Help, help, help!"
650,Sorry.
651,Put that thing away before you hurt yourself. Get in!
652,"Let's go. You, get in the car."
653,They've spotted the Batman.
654,Call everyone in.
655,"Every car patrol, beat cop, offduty too."
656,Pull them in now. I'm gonna do what Jim Gordon never could.
657, What's that?
658, I'm gonna take down the Batman.
659,... are confirming four suspects are carrying two hostages...
660,...kidnapped from the Gotham Stock Exchange.
661," Reports from the eyewitnesses  Scott, dead center of your screen."
662, What do you see?
663, I see Batman.
664,"Hard to believe, but the suspects are now being pursued..."
665,...by what appears to be the Batman.
666,"Well, what do you know?"
667,"Sir, what about the armed robbers?"
668,Please! Just let me go! Please!
669,One bike's pulled off. No hostage. Should we pursue?
670,Negative. Stay on the Batman.
671, He's getting away.
672, Who do you wanna catch?
673,"Some robber, or the son of a bitch who killed Harvey Dent?"
674,...The entire upper west hill...
675,Central Heights and East Park Side areas.
676,"Eight years, and he has to pick tonight."
677,He's drawing the cops off Bane.
678,Please! Just let me go!
679,Please!
680,We lost him.
681,How could you lose him?
682,He's got a lot of firepower.
683,"What, and you don't?"
684,He's heading back downtown.
685,Then he's as dumb as he dresses.
686,"Close it off, gentlemen."
687,"Like a rat in a trap, gentlemen."
688,"You might have the wrong animal there, sir."
689,You sure it was him?
690,"Bane says the Batman interfered, but the task was accomplished."
691,What about the men they arrested?
692,"He said, and I quote, ""They would die before talking."" Where does he find these guys?"
693,Open the champagne.
694,And can we get some girls in here?
695,Careful what you wish for.
696,Cat got your tongue?
697,You dumb bitch.
698,Nobody ever accused me of being dumb.
699,You're dumb for coming here tonight.
700,I want what you owe me.
701,Want doesn't get.
702,Nice outfit.
703,Those heels make it tough to walk?
704, I don't know.
705, Aah!
706,Do they?
707, So where is it?
708, Where's what?
709,"The program. The ""clean slate."" The ultimate tool for a master thief with a record."
710,Hold it right there!
711,Where is it?
712,The clean slate?
713,"Where you type in someone's name, date of birth..."
714,...in a few minutes they're gone from every database on earth?
715, Sound a little too good to be true?
716, You're lying!
717,Rykin Data took it to prototype stage.
718,That's why I bought them.
719,But they had nothing.
720,It was a gangland myth.
721,Stay back!
722,I'm not bluffing!
723,They know.
724,They just don't care.
725,You've gotta be kidding me.
726, No guns. No killing.
727, Where's the fun in that?
728,My mother warned me about getting into cars with strange men.
729,This isn't a car.
730,See you around.
731,You're welcome.
732,I had it under control.
733,Those weren't street thugs.
734,They were trained killers.
735,I saved your life.
736,"In return, I need to know what you did with Bruce Wayne's fingerprints."
737,Wayne wasn't kidding about a powerful friend.
738,I sold his prints to Daggett...
739,...for something that doesn't even exist.
740, I doubt many people get the better of you.
741," Hey, when a girl's desperate..."
742, What's he gonna do with them?
743, I don't know...
744,...but Daggett seemed pretty interested in that mess at the stock market.
745,Miss Kyle?
746,So that's what that feels like.
747,I see from the television coverage that you got your taste for wanton destruction back.
748,I retrieved this.
749,"Aren't the police supposed to be investigating, then?"
750, They don't have the tools to analyze it.
751, They would if you gave them to them.
752,One man's tool is another man's weapon.
753,"In your mind, perhaps. But there aren't many things you can't turn into a weapon."
